circ;mes;ano;pop_circ
153;7;2003;19833,49987
154;7;2003;24129,68432
155;7;2003;8546,95977
156;7;2003;10429,25716
157;7;2003;10112,65018
158;7;2003;23424,32867
159;7;2003;50195,38358
165;7;2003;27917,8813
166;7;2003;132517,3032
167;7;2003;31743,33043
168;7;2003;16578,1985
1;8;2003;1552,073308
4;8;2003;29922,42445
5;8;2003;35814,98979
6;8;2003;76609,43515
7;8;2003;38830,36502
9;8;2003;129503,8121
10;8;2003;97949,75231
12;8;2003;87027,75178
13;8;2003;65909,38763
14;8;2003;84240,62012
15;8;2003;140747,0273
16;8;2003;288813,0555
17;8;2003;76191,9961
18;8;2003;64251,23887
19;8;2003;132211,8497
20;8;2003;155653,5382
21;8;2003;252614,6466
22;8;2003;227489,5955
23;8;2003;87519,65402
24;8;2003;92037,81358
25;8;2003;123290,1567
26;8;2003;110467,1986
27;8;2003;180243,9293
28;8;2003;163404,2407
29;8;2003;99408,0495
30;8;2003;119365,9425
31;8;2003;150211,2527
32;8;2003;350145,9805
33;8;2003;230562,7641
34;8;2003;406117,2675
35;8;2003;514326,3351
36;8;2003;295984,9934
37;8;2003;201689,0489
38;8;2003;198086,499
39;8;2003;167357,8675
40;8;2003;105866,9594
41;8;2003;135749,7265
43;8;2003;167094,1026
44;8;2003;112541,2634
48;8;2003;69000,32041
50;8;2003;89549,69479
51;8;2003;42418,73947
52;8;2003;173748,0175
53;8;2003;168144,2208
54;8;2003;444937,4871
55;8;2003;206247,3884
56;8;2003;258544,8475
57;8;2003;154847,4398
58;8;2003;342127,3267
59;8;2003;330045,6671
60;8;2003;265148,4347
61;8;2003;56542,83406
62;8;2003;147438,9296
64;8;2003;452291,9744
65;8;2003;122876,9186
66;8;2003;131049,322
71;8;2003;223825,0206
72;8;2003;318705,3043
73;8;2003;154211,5016
74;8;2003;201638,3999
75;8;2003;248734,4463
76;8;2003;73323,68189
77;8;2003;139038,0374
78;8;2003;120863,353
79;8;2003;69909,94898
81;8;2003;64806,846
82;8;2003;89742,11957
88;8;2003;90392,32338
89;8;2003;109024,0201
90;8;2003;172899,5216
91;8;2003;67967,72145
92;8;2003;7902,172619
93;8;2003;246811,2399
94;8;2003;42035,84105
95;8;2003;32335,25467
96;8;2003;49490,65368
97;8;2003;17485,67139
98;8;2003;12485,2571
99;8;2003;25921,49727
100;8;2003;24661,81608
104;8;2003;19572,93402
105;8;2003;246213,7507
106;8;2003;43183,37967
107;8;2003;38506,47051
108;8;2003;91964,11271
109;8;2003;17269,638
110;8;2003;145534,7731
111;8;2003;14395,41393
112;8;2003;15920,71208
118;8;2003;90889,89213
119;8;2003;51428,93123
120;8;2003;21290,86482
121;8;2003;25587,19537
122;8;2003;19499,80423
123;8;2003;177295,471
124;8;2003;58390,61161
125;8;2003;69984,34476
126;8;2003;167783,8103
127;8;2003;20688,56367
128;8;2003;50602,48375
129;8;2003;17150,02776
134;8;2003;268484,3136
135;8;2003;22970,88325
136;8;2003;47906,57453
137;8;2003;26995,6657
138;8;2003;7776,416318
139;8;2003;16488,98679
140;8;2003;23433,6256
141;8;2003;37019,86011
142;8;2003;14718,23088
143;8;2003;121671,1558
144;8;2003;34186,97506
145;8;2003;29154,29227
146;8;2003;192993,644
151;8;2003;176044,662
152;8;2003;10514,22876
153;8;2003;19833,4582
154;8;2003;24147,86261
155;8;2003;8551,032569
156;8;2003;10427,96261
157;8;2003;10114,73406
158;8;2003;23446,29529
159;8;2003;50242,31695
165;8;2003;28008,27868
166;8;2003;132912,6237
167;8;2003;31807,4062
168;8;2003;16588,06552
1;9;2003;1553,060005
4;9;2003;29941,44699
5;9;2003;35837,7584
6;9;2003;76658,13796
7;9;2003;38855,05059
9;9;2003;129586,1413
10;9;2003;98012,02177
12;9;2003;87083,07781
13;9;2003;65951,28812
14;9;2003;84294,17429
15;9;2003;140836,5042
16;9;2003;288996,6623
17;9;2003;76240,43353
18;9;2003;64292,08522
19;9;2003;132295,9006
20;9;2003;155752,4916
21;9;2003;252775,2409
22;9;2003;227634,2172
23;9;2003;87575,29276
24;9;2003;92096,32465
25;9;2003;123368,5357
26;9;2003;110537,4257
27;9;2003;180358,5155
28;9;2003;163508,1214
29;9;2003;99471,24604
30;9;2003;119441,8268
31;9;2003;150306,7463
32;9;2003;350368,5783
33;9;2003;230709,3394
34;9;2003;406375,4479
35;9;2003;514653,3071
36;9;2003;296173,1595
37;9;2003;201817,2683
38;9;2003;198212,4283
39;9;2003;167464,2617
40;9;2003;105934,2621
41;9;2003;135836,0264
43;9;2003;167200,3291
44;9;2003;112612,8091
48;9;2003;69105,17446
50;9;2003;89765,76254
51;9;2003;42472,91545
52;9;2003;173806,3466
53;9;2003;168147,0117
54;9;2003;445224,7419
55;9;2003;199383,5438
56;9;2003;258631,6437
57;9;2003;154878,2763
58;9;2003;342242,1825
59;9;2003;330315,7139
60;9;2003;265365,3819
61;9;2003;56589,098
62;9;2003;147559,5657
64;9;2003;452368,3952
65;9;2003;123051,9408
66;9;2003;131158,3242
71;9;2003;224111,8333
72;9;2003;319012,5073
73;9;2003;154360,1475
74;9;2003;201832,761
75;9;2003;248974,2037
76;9;2003;73360,076
77;9;2003;139107,0488
78;9;2003;120923,3434
79;9;2003;69944,64869
81;9;2003;64839,01279
82;9;2003;90131,39178
