cod_munic;munic;pop_munic;ano
3301900;Itaboraí;211528;2008
3302007;Itaguaí;103038;2008
3302056;Italva;13762;2008
3302106;Itaocara;22920;2008
3302205;Itaperuna;93943;2008
3302254;Itatiaia;27924;2008
3302270;Japeri;92914;2008
3302304;Laje do Muriaé;7570;2008
3302403;Macaé;189120;2008
3302452;Macuco;5190;2008
3302502;Magé;222851;2008
3302601;Mangaratiba;33780;2008
3302700;Maricá;115160;2008
3302809;Mendes;17804;2008
3302858;Mesquita;168309;2008
3302908;Miguel Pereira;24492;2008
3303005;Miracema;26887;2008
3303104;Natividade;15091;2008
3303203;Nilópolis;156675;2008
