cod_munic;munic;pop_munic;mes;ano
3304110;Porto Real;14700;9;2006
3304128;Quatis;11959;9;2006
3304144;Queimados;131609;9;2006
3304151;Quissamã;17418;9;2006
3304201;Resende;113691;9;2006
3304300;Rio Bonito;53228;9;2006
3304409;Rio Claro;16956;9;2006
3304508;Rio das Flores;8189;9;2006
3304524;Rio das Ostras;70310;9;2006
3304557;Rio de Janeiro;6138999;9;2006
3304607;Santa Maria Madalena;10380;9;2006
3304706;Santo Antônio de Pádua;39851;9;2006
3304805;São Fidélis;37252;9;2006
3304755;São Francisco de Itabapoana;41274;9;2006
3304904;São Gonçalo;956622;9;2006
3305000;São João da Barra;30705;9;2006
3305109;São João de Meriti;455126;9;2006
3305133;São José de Ubá;6771;9;2006
3305158;São José do Vale do Rio Preto;19872;9;2006
3305208;São Pedro da Aldeia;77464;9;2006
3305307;São Sebastião do Alto;8703;9;2006
3305406;Sapucaia;17383;9;2006
3305505;Saquarema;64990;9;2006
3305554;Seropédica;72955;9;2006
3305604;Silva Jardim;21317;9;2006
3305703;Sumidouro;14618;9;2006
3305752;Tanguá;28849;9;2006
3305802;Teresópolis;153391;9;2006
3305901;Trajano de Moraes;10192;9;2006
3306008;Três Rios;75294;9;2006
3306107;Valença;69669;9;2006
3306156;Varre-Sai;8818;9;2006
3306206;Vassouras;33244;9;2006
3306305;Volta Redonda;251653;9;2006
3300100;Angra dos Reis;148586;10;2006
3300159;Aperibé;9328;10;2006
3300209;Araruama;100022;10;2006
3300225;Areal;10826;10;2006
3300233;Armação dos Búzios;23595;10;2006
3300258;Arraial do Cabo;26209;10;2006
3300308;Barra do Piraí;92375;10;2006
3300407;Barra Mansa;175132;10;2006
3300456;Belford Roxo;455947;10;2006
3300506;Bom Jardim;24292;10;2006
3300605;Bom Jesus do Itabapoana;34742;10;2006
3300704;Cabo Frio;161271;10;2006
3300803;Cachoeiras de Macacu;52050;10;2006
3300902;Cambuci;14768;10;2006
3301009;Campos dos Goytacazes;441589;10;2006
3301108;Cantagalo;19832;10;2006
3300936;Carapebus;11360;10;2006
3301157;Cardoso Moreira;12598;10;2006
3301207;Carmo;16597;10;2006
3301306;Casimiro de Abreu;29673;10;2006
3300951;Comendador Levy Gasparian;8083;10;2006
3301405;Conceição de Macabu;20266;10;2006
3301504;Cordeiro;19724;10;2006
3301603;Duas Barras;10703;10;2006
3301702;Duque de Caxias;824295;10;2006
3301801;Engenheiro Paulo de Frontin;12824;10;2006
3301850;Guapimirim;45925;10;2006
3301876;Iguaba Grande;19561;10;2006
3301900;Itaboraí;206022;10;2006
3302007;Itaguaí;98027;10;2006
3302056;Italva;13504;10;2006
3302106;Itaocara;22938;10;2006
3302205;Itaperuna;92314;10;2006
3302254;Itatiaia;27195;10;2006
3302270;Japeri;90717;10;2006
3302304;Laje do Muriaé;7643;10;2006
3302403;Macaé;174988;10;2006
3302452;Macuco;5122;10;2006
3302502;Magé;219014;10;2006
3302601;Mangaratiba;31605;10;2006
3302700;Maricá;105407;10;2006
3302809;Mendes;17690;10;2006
3302858;Mesquita;168250;10;2006
3302908;Miguel Pereira;24362;10;2006
3303005;Miracema;26926;10;2006
3303104;Natividade;15098;10;2006
3303203;Nilópolis;156022;10;2006
3303302;Niterói;476826;10;2006
3303401;Nova Friburgo;178784;10;2006
3303500;Nova Iguaçu;784344;10;2006
3303609;Paracambi;44513;10;2006
3303708;Paraíba do Sul;39666;10;2006
3303807;Paraty;34313;10;2006
3303856;Paty do Alferes;25814;10;2006
3303906;Petrópolis;292364;10;2006
3303955;Pinheiral;21447;10;2006
3304003;Piraí;24655;10;2006
3304102;Porciúncula;17059;10;2006
3304110;Porto Real;14739;10;2006
3304128;Quatis;11977;10;2006
3304144;Queimados;131745;10;2006
3304151;Quissamã;17476;10;2006
3304201;Resende;113820;10;2006
3304300;Rio Bonito;53277;10;2006
3304409;Rio Claro;16966;10;2006
3304508;Rio das Flores;8197;10;2006
3304524;Rio das Ostras;70968;10;2006
3304557;Rio de Janeiro;6142902;10;2006
3304607;Santa Maria Madalena;10379;10;2006
3304706;Santo Antônio de Pádua;39867;10;2006
3304805;São Fidélis;37258;10;2006
3304755;São Francisco de Itabapoana;41276;10;2006
3304904;São Gonçalo;957544;10;2006
3305000;São João da Barra;30748;10;2006
3305109;São João de Meriti;455202;10;2006
3305133;São José de Ubá;6776;10;2006
3305158;São José do Vale do Rio Preto;19881;10;2006
3305208;São Pedro da Aldeia;77680;10;2006
3305307;São Sebastião do Alto;8707;10;2006
3305406;Sapucaia;17386;10;2006
3305505;Saquarema;65182;10;2006
3305554;Seropédica;73066;10;2006
3305604;Silva Jardim;21317;10;2006
3305703;Sumidouro;14624;10;2006
3305752;Tanguá;28889;10;2006
3305802;Teresópolis;153611;10;2006
3305901;Trajano de Moraes;10194;10;2006
3306008;Três Rios;75340;10;2006
3306107;Valença;69716;10;2006
3306156;Varre-Sai;8832;10;2006
3306206;Vassouras;33269;10;2006
3306305;Volta Redonda;251785;10;2006
3300100;Angra dos Reis;149030;11;2006
3300159;Aperibé;9347;11;2006
3300209;Araruama;100277;11;2006
